Variable,Year,Value,RSE,Industry
Stores and rations ($),2013,370,140,Sheep-Beef
Telephone ($),2013,2520,16,Sheep-Beef
Total area cropped (ha),2013,67,50,Sheep-Beef
Total area irrigated (ha),2013,,,Sheep-Beef
Total cash costs ($),2013,229490,27,Sheep-Beef
Total cash receipts ($),2013,302810,31,Sheep-Beef
Total closing capital ($),2013,4240000,16,Sheep-Beef
Total crop gross receipts ($),2013,17260,256,Sheep-Beef
Total family income ($),2013,88020,16,Sheep-Beef
Total freight ($),2013,7410,36,Sheep-Beef
Total labor used (weeks),2013,87,11,Sheep-Beef
Total non farm income ($),2013,49120,19,Sheep-Beef
Total off farm wages ($),2013,31030,19,Sheep-Beef
Total wool sold (kg),2013,8082,27,Sheep-Beef
Value of land and fixed improvements ($),2013,3469150,16,Sheep-Beef
Vet fees ($),2013,2660,19,Sheep-Beef
Wages for hired labor ($),2013,11370,84,Sheep-Beef
Water charges ($),2013,860,35,Sheep-Beef
Wethers at 30 June (no.),2013,282,20,Sheep-Beef
Wheat area sown (ha),2013,9,175,Sheep-Beef
Wheat produced (t),2013,15,501,Sheep-Beef
Wheat receipts ($),2013,3910,646,Sheep-Beef
Wheat sold (t),2013,12,585,Sheep-Beef
Wool cut per head (kg),2013,4,6,Sheep-Beef
Wool produced (kg),2013,8241,26,Sheep-Beef
Wool receipts ($),2013,71020,28,Sheep-Beef
AI stud fees and herd testing ($),2014,380,19,All Broadacre
Accounting services ($),2014,4700,5,All Broadacre
Advisory services ($),2014,1420,9,All Broadacre
Age of owner manager (yrs),2014,60,1,All Broadacre
Age of spouse (yrs),2014,57,1,All Broadacre
Agistment ($),2014,2800,16,All Broadacre
Area operated at 30 June (ha),2014,6744,5,All Broadacre
Barley area sown (ha),2014,68,7,All Broadacre
Barley produced (t),2014,167,7,All Broadacre
Barley receipts ($),2014,42490,8,All Broadacre
Beef bulls at 30 June (no.),2014,8,6,All Broadacre
Beef calves at 30 June (no.),2014,102,3,All Broadacre
Beef cattle purchased ($),2014,14390,10,All Broadacre
Beef cattle purchased (no.),2014,20,10,All Broadacre
Beef cattle receipts ($),2014,123820,4,All Broadacre
Beef cattle sold (no.),2014,149,4,All Broadacre
Beef cattle transferred off farm (no.),2014,10,18,All Broadacre
Beef cattle transferred onto farm (no.),2014,3,28,All Broadacre
Beef cows at 30 June (no.),2014,176,3,All Broadacre
Beef heifers at 30 June (no.),2014,33,5,All Broadacre
Beef herd at 30 June (no.),2014,403,3,All Broadacre
Branding rate (%),2014,76,1,All Broadacre
Buildup in trading stocks ($),2014,-9420,42,All Broadacre
Canola area sown (ha),2014,48,7,All Broadacre
Canola produced (t),2014,66,7,All Broadacre
Canola receipts ($),2014,44430,7,All Broadacre
Capital appreciation ($),2014,1340,616,All Broadacre
Capital at 1 July ($),2014,4962690,2,All Broadacre
Change in farm debt ($),2014,3280,250,All Broadacre
Contracts - cropping ($),2014,14600,6,All Broadacre
Contracts - livestock ($),2014,3470,8,All Broadacre
Cotton receipts ($),2014,2950,45,All Broadacre
Crop and pasture chemicals ($),2014,33460,4,All Broadacre
Dairy cattle at June 30 (no.),2014,0,140,All Broadacre
Depreciation ($),2014,57250,2,All Broadacre
Electricity ($),2014,4410,4,All Broadacre
Equity ratio at 30 June (%),2014,87,1,All Broadacre
Ewes at 30 June (no.),2014,733,4,All Broadacre
Family share of farm income ($),2014,67330,10,All Broadacre
Farm business debt at 30 June ($),2014,639110,4,All Broadacre
Farm business equity June 30 ($),2014,4176820,2,All Broadacre
Farm business profit ($),2014,16390,43,All Broadacre
Farm cash income ($),2014,154450,4,All Broadacre
Farm liquid assets at 30 June ($),2014,211290,7,All Broadacre
Fertiliser ($),2014,45370,4,All Broadacre
Field peas area sown (ha),2014,4,20,All Broadacre
Field peas produced (t),2014,5,18,All Broadacre
Field peas receipts ($),2014,1670,18,All Broadacre
Fodder ($),2014,14010,7,All Broadacre
Fuel oil and grease ($),2014,32250,3,All Broadacre
Grain legumes area sown (ha),2014,24,9,All Broadacre
Grain legumes produced (t),2014,31,10,All Broadacre
Grain legumes receipts ($),2014,11160,10,All Broadacre
Handling and marketing ($),2014,14570,5,All Broadacre
Hours worked on farm - total (hrsperwk),2014,86,2,All Broadacre
Hours worked on farm by owner manager (hrsperwk),2014,47,2,All Broadacre
Hours worked on farm by spouse (hrsperwk),2014,15,4,All Broadacre
Imputed labor cost ($),2014,71400,1,All Broadacre
Insurance ($),2014,13380,3,All Broadacre
Interest paid ($),2014,40580,4,All Broadacre
Lambs at 30 June (no.),2014,371,5,All Broadacre
Land rent ($),2014,11180,8,All Broadacre
Leasing charges ($),2014,860,25,All Broadacre
Livestock materials ($),2014,7410,5,All Broadacre
Livestock transfers - inwards ($),2014,1960,23,All Broadacre
Livestock transfers - outward ($),2014,6070,17,All Broadacre
Lupins area sown (ha),2014,9,16,All Broadacre
Lupins produced (t),2014,12,18,All Broadacre
Lupins receipts ($),2014,3540,20,All Broadacre
Net capital additions ($),2014,50450,32,All Broadacre
Oats area sown (ha),2014,18,10,All Broadacre
Oats produced (t),2014,23,19,All Broadacre
Oats receipts ($),2014,3960,26,All Broadacre
Off farm contracts ($),2014,10460,17,All Broadacre
Off farm sharefarming ($),2014,5290,19,All Broadacre
Off-farm work for owner manager (hrsperwk),2014,4,15,All Broadacre
Off-farm work for spouse (hrsperwk),2014,9,8,All Broadacre
Oilseeds area sown (ha),2014,50,7,All Broadacre
Oilseeds produced (t),2014,67,7,All Broadacre
Oilseeds receipts ($),2014,44630,7,All Broadacre
Other administration expenses ($),2014,7290,5,All Broadacre
Other farm income ($),2014,22720,6,All Broadacre
Other livestock purchased ($),2014,120,48,All Broadacre
Other livestock receipts ($),2014,1590,23,All Broadacre
Other materials ($),2014,3670,8,All Broadacre
Other services ($),2014,10160,5,All Broadacre
Payments to sharefarmers ($),2014,2300,35,All Broadacre
Population,2014,53242,,All Broadacre
Produce purchased for resale ($),2014,170,43,All Broadacre
Profit at full equity ($),2014,68740,11,All Broadacre
Profit at full equity including capital appreciation ($),2014,70080,16,All Broadacre
Rams at 30 June (no.),2014,17,6,All Broadacre
Rate of return ex. capital appreciation (%),2014,1.4,10,All Broadacre
Rate of return inc. capital appreciation (%),2014,1.4,16,All Broadacre
Repairs and maintenance ($),2014,37770,3,All Broadacre
Rice area sown (ha),2014,1,27,All Broadacre
Sample Contributing,2014,1623,,All Broadacre
Seed ($),2014,4270,6,All Broadacre
Shearing crutching ($),2014,9900,5,All Broadacre
Sheep and lambs shorn (no.),2014,1313,4,All Broadacre
Sheep flock at 30 June (no.),2014,1244,4,All Broadacre
Sheep purchased ($),2014,9430,8,All Broadacre
Sheep purchased (no.),2014,80,10,All Broadacre
Sheep receipts ($),2014,65400,5,All Broadacre
Sheep sold (no.),2014,604,4,All Broadacre
Shire and PPB rates ($),2014,11570,3,All Broadacre
Sorghum area sown (ha),2014,5,19,All Broadacre
Sorghum produced (t),2014,11,19,All Broadacre
Sorghum receipts ($),2014,3780,21,All Broadacre
Steers and other beef cattle at 30 June (no.),2014,83,6,All Broadacre
Stores and rations ($),2014,680,10,All Broadacre
Telephone ($),2014,2980,3,All Broadacre
Total area cropped (ha),2014,421,4,All Broadacre
Total area irrigated (ha),2014,,,All Broadacre
Total cash costs ($),2014,400500,2,All Broadacre
Total cash receipts ($),2014,554950,3,All Broadacre
Total closing capital ($),2014,4997520,2,All Broadacre
Total crop gross receipts ($),2014,276580,4,All Broadacre
Total family income ($),2014,117170,6,All Broadacre
Total freight ($),2014,18240,4,All Broadacre
Total labor used (weeks),2014,94,1,All Broadacre
Total non farm income ($),2014,43970,6,All Broadacre
Total off farm wages ($),2014,27700,8,All Broadacre
Total wool sold (kg),2014,5174,4,All Broadacre
Value of land and fixed improvements ($),2014,3996120,2,All Broadacre
Vet fees ($),2014,1330,8,All Broadacre
Wages for hired labor ($),2014,16200,5,All Broadacre
Water charges ($),2014,3240,15,All Broadacre
Wethers at 30 June (no.),2014,123,10,All Broadacre
Wheat area sown (ha),2014,222,5,All Broadacre
Wheat produced (t),2014,455,5,All Broadacre
Wheat receipts ($),2014,146390,5,All Broadacre
Wheat sold (t),2014,435,5,All Broadacre
Wool cut per head (kg),2014,4.1,1,All Broadacre
Wool produced (kg),2014,5345,4,All Broadacre
Wool receipts ($),2014,43020,5,All Broadacre
AI stud fees and herd testing ($),2014,520,26,Beef
Accounting services ($),2014,3510,10,Beef
Advisory services ($),2014,400,28,Beef
Age of owner manager (yrs),2014,63,1,Beef
Age of spouse (yrs),2014,59,1,Beef
Agistment ($),2014,6530,20,Beef
Area operated at 30 June (ha),2014,13060,9,Beef
Barley area sown (ha),2014,2,46,Beef
Barley produced (t),2014,3,52,Beef
Barley receipts ($),2014,480,70,Beef
Beef bulls at 30 June (no.),2014,19,7,Beef
Beef calves at 30 June (no.),2014,223,4,Beef
Beef cattle purchased ($),2014,25520,20,Beef
Beef cattle purchased (no.),2014,32,20,Beef
Beef cattle receipts ($),2014,260570,5,Beef
Beef cattle sold (no.),2014,317,4,Beef
Beef cattle transferred off farm (no.),2014,27,20,Beef
Beef cattle transferred onto farm (no.),2014,9,29,Beef
Beef cows at 30 June (no.),2014,397,4,Beef
Beef heifers at 30 June (no.),2014,74,6,Beef
Beef herd at 30 June (no.),2014,906,3,Beef
Branding rate (%),2014,74.1,1,Beef
Buildup in trading stocks ($),2014,-36010,20,Beef
Canola area sown (ha),2014,1,64,Beef
Canola produced (t),2014,2,65,Beef
Canola receipts ($),2014,1420,62,Beef
Capital appreciation ($),2014,-38350,42,Beef
Capital at 1 July ($),2014,5113530,3,Beef
Change in farm debt ($),2014,-1190,1013,Beef
Contracts - cropping ($),2014,3310,20,Beef
Contracts - livestock ($),2014,6480,10,Beef
Cotton receipts ($),2014,630,150,Beef
Crop and pasture chemicals ($),2014,2860,22,Beef
Dairy cattle at June 30 (no.),2014,0,151,Beef
Depreciation ($),2014,36080,8,Beef
Electricity ($),2014,3540,7,Beef
Equity ratio at 30 June (%),2014,90,1,Beef
Ewes at 30 June (no.),2014,45,28,Beef
Family share of farm income ($),2014,-11240,63,Beef
Farm business debt at 30 June ($),2014,452040,8,Beef
Farm business equity June 30 ($),2014,4215790,4,Beef
Farm business profit ($),2014,-72140,10,Beef
Farm cash income ($),2014,67150,11,Beef
Farm liquid assets at 30 June ($),2014,220240,13,Beef
Fertiliser ($),2014,8860,15,Beef
Field peas area sown (ha),2014,0,236,Beef
Field peas produced (t),2014,0,111,Beef
Field peas receipts ($),2014,0,111,Beef
Fodder ($),2014,22540,11,Beef
Fuel oil and grease ($),2014,17410,6,Beef
Grain legumes area sown (ha),2014,1,66,Beef
Grain legumes produced (t),2014,1,73,Beef
Grain legumes receipts ($),2014,750,66,Beef
Handling and marketing ($),2014,6680,9,Beef
Hours worked on farm - total (hrsperwk),2014,77,3,Beef
Hours worked on farm by owner manager (hrsperwk),2014,44,3,Beef
Hours worked on farm by spouse (hrsperwk),2014,16,8,Beef
Imputed labor cost ($),2014,67210,3,Beef
Insurance ($),2014,7990,5,Beef
Interest paid ($),2014,28520,8,Beef
Lambs at 30 June (no.),2014,19,32,Beef
Land rent ($),2014,4810,11,Beef
Leasing charges ($),2014,750,25,Beef
Livestock materials ($),2014,6390,9,Beef
Livestock transfers - inwards ($),2014,4730,26,Beef
Livestock transfers - outward ($),2014,13170,20,Beef
Lupins area sown (ha),2014,0,123,Beef
Lupins produced (t),2014,0,123,Beef
Lupins receipts ($),2014,20,123,Beef
Net capital additions ($),2014,18580,157,Beef
Oats area sown (ha),2014,8,19,Beef
Oats produced (t),2014,1,42,Beef
Oats receipts ($),2014,100,35,Beef
Off farm contracts ($),2014,5790,21,Beef
Off farm sharefarming ($),2014,80,100,Beef
Off-farm work for owner manager (hrsperwk),2014,6,23,Beef
Off-farm work for spouse (hrsperwk),2014,8,13,Beef
Oilseeds area sown (ha),2014,2,51,Beef
Oilseeds produced (t),2014,3,54,Beef
Oilseeds receipts ($),2014,2200,45,Beef
Other administration expenses ($),2014,5440,9,Beef
Other farm income ($),2014,16700,15,Beef
Other livestock purchased ($),2014,60,52,Beef
Other livestock receipts ($),2014,980,53,Beef
Other materials ($),2014,3200,18,Beef
Other services ($),2014,9060,8,Beef
Payments to sharefarmers ($),2014,250,129,Beef
Population,2014,19366,,Beef
Produce purchased for resale ($),2014,200,63,Beef
Profit at full equity ($),2014,-38350,19,Beef
Profit at full equity including capital appreciation ($),2014,-76700,23,Beef
Rams at 30 June (no.),2014,1,27,Beef
Rate of return ex. capital appreciation (%),2014,-0.8,19,Beef
Rate of return inc. capital appreciation (%),2014,-1.5,24,Beef
Repairs and maintenance ($),2014,25760,5,Beef
Rice area sown (ha),2014,0,70,Beef
Sample Contributing,2014,532,,Beef
Seed ($),2014,1140,21,Beef
Shearing crutching ($),2014,640,43,Beef
Sheep and lambs shorn (no.),2014,80,36,Beef
Sheep flock at 30 June (no.),2014,80,28,Beef
Sheep purchased ($),2014,1060,34,Beef
Sheep purchased (no.),2014,10,36,Beef
Sheep receipts ($),2014,5180,29,Beef
Sheep sold (no.),2014,49,28,Beef
Shire and PPB rates ($),2014,9540,4,Beef
Sorghum area sown (ha),2014,0,61,Beef
Sorghum produced (t),2014,1,69,Beef
Sorghum receipts ($),2014,90,75,Beef
Steers and other beef cattle at 30 June (no.),2014,193,7,Beef
Stores and rations ($),2014,1220,11,Beef
Telephone ($),2014,2350,4,Beef
Total area cropped (ha),2014,41,19,Beef
Total area irrigated (ha),2014,,,Beef
Total cash costs ($),2014,251460,5,Beef
Total cash receipts ($),2014,318610,5,Beef
Total closing capital ($),2014,5050060,3,Beef
Total crop gross receipts ($),2014,13530,44,Beef
Total family income ($),2014,46050,20,Beef
Total freight ($),2014,14200,7,Beef
Total labor used (weeks),2014,87,3,Beef
Total non farm income ($),2014,50890,12,Beef
Total off farm wages ($),2014,29740,17,Beef
Total wool sold (kg),2014,310,31,Beef
Value of land and fixed improvements ($),2014,4011630,3,Beef
Vet fees ($),2014,1650,10,Beef
Wages for hired labor ($),2014,13280,10,Beef
Water charges ($),2014,1070,23,Beef
Wethers at 30 June (no.),2014,14,57,Beef
Wheat area sown (ha),2014,6,87,Beef
Wheat produced (t),2014,13,53,Beef
Wheat receipts ($),2014,3660,59,Beef
Wheat sold (t),2014,12,55,Beef
Wool cut per head (kg),2014,3.7,10,Beef
Wool produced (kg),2014,294,32,Beef
Wool receipts ($),2014,2620,33,Beef
AI stud fees and herd testing ($),2014,400,431,Cropping
Accounting services ($),2014,7780,9,Cropping
Advisory services ($),2014,5080,13,Cropping
Age of owner manager (yrs),2014,56,1,Cropping
Age of spouse (yrs),2014,54,1,Cropping
Agistment ($),2014,340,35,Cropping
Area operated at 30 June (ha),2014,2788,6,Cropping
Barley area sown (ha),2014,251,9,Cropping
Barley produced (t),2014,628,10,Cropping
Barley receipts ($),2014,167660,11,Cropping
Beef bulls at 30 June (no.),2014,1,50,Cropping
Beef calves at 30 June (no.),2014,15,17,Cropping
Beef cattle purchased ($),2014,5020,29,Cropping
Beef cattle purchased (no.),2014,9,29,Cropping
Beef cattle receipts ($),2014,23740,17,Cropping
Beef cattle sold (no.),2014,27,15,Cropping
Beef cattle transferred off farm (no.),2014,0,,Cropping
Beef cattle transferred onto farm (no.),2014,0,,Cropping
Beef cows at 30 June (no.),2014,24,17,Cropping
Beef heifers at 30 June (no.),2014,4,21,Cropping
Beef herd at 30 June (no.),2014,56,16,Cropping
Branding rate (%),2014,84.6,6,Cropping
Buildup in trading stocks ($),2014,19670,51,Cropping
Canola area sown (ha),2014,197,9,Cropping
Canola produced (t),2014,249,9,Cropping
Canola receipts ($),2014,170240,9,Cropping
Capital appreciation ($),2014,27340,56,Cropping
Capital at 1 July ($),2014,6967200,4,Cropping
Change in farm debt ($),2014,-210,13844,Cropping
Contracts - cropping ($),2014,48140,8,Cropping
Contracts - livestock ($),2014,990,30,Cropping
Cotton receipts ($),2014,14800,53,Cropping
Crop and pasture chemicals ($),2014,134300,6,Cropping
Dairy cattle at June 30 (no.),2014,0,,Cropping
Depreciation ($),2014,130580,4,Cropping
Electricity ($),2014,6650,8,Cropping
Equity ratio at 30 June (%),2014,80,1,Cropping
Ewes at 30 June (no.),2014,557,14,Cropping
Family share of farm income ($),2014,233650,13,Cropping
Farm business debt at 30 June ($),2014,1443230,8,Cropping
Farm business equity June 30 ($),2014,5687270,4,Cropping
Farm business profit ($),2014,228750,13,Cropping
Farm cash income ($),2014,422610,7,Cropping
Farm liquid assets at 30 June ($),2014,358340,19,Cropping
Fertiliser ($),2014,151510,6,Cropping
Field peas area sown (ha),2014,20,23,Cropping
Field peas produced (t),2014,24,21,Cropping
Field peas receipts ($),2014,8450,20,Cropping
Fodder ($),2014,5450,74,Cropping
Fuel oil and grease ($),2014,84260,5,Cropping
Grain legumes area sown (ha),2014,108,10,Cropping
Grain legumes produced (t),2014,136,12,Cropping
Grain legumes receipts ($),2014,51130,12,Cropping
Handling and marketing ($),2014,35970,9,Cropping
Hours worked on farm - total (hrsperwk),2014,115,3,Cropping
Hours worked on farm by owner manager (hrsperwk),2014,50,3,Cropping
Hours worked on farm by spouse (hrsperwk),2014,16,9,Cropping
Imputed labor cost ($),2014,82950,3,Cropping
Insurance ($),2014,29850,5,Cropping
Interest paid ($),2014,91340,8,Cropping
Lambs at 30 June (no.),2014,294,11,Cropping
Land rent ($),2014,29910,14,Cropping
Leasing charges ($),2014,1490,46,Cropping
Livestock materials ($),2014,5220,18,Cropping
Livestock transfers - inwards ($),2014,0,,Cropping
Livestock transfers - outward ($),2014,20,88,Cropping
Lupins area sown (ha),2014,41,20,Cropping
Lupins produced (t),2014,52,23,Cropping
Lupins receipts ($),2014,16890,24,Cropping
Net capital additions ($),2014,132890,40,Cropping
Oats area sown (ha),2014,24,25,Cropping
Oats produced (t),2014,44,47,Cropping
Oats receipts ($),2014,9620,54,Cropping
Off farm contracts ($),2014,27210,34,Cropping
Off farm sharefarming ($),2014,21510,23,Cropping
Off-farm work for owner manager (hrsperwk),2014,3,34,Cropping
Off-farm work for spouse (hrsperwk),2014,9,10,Cropping
Oilseeds area sown (ha),2014,200,9,Cropping
Oilseeds produced (t),2014,250,9,Cropping
Oilseeds receipts ($),2014,166470,9,Cropping
Other administration expenses ($),2014,15070,10,Cropping
Other farm income ($),2014,53450,10,Cropping
Other livestock purchased ($),2014,510,88,Cropping
Other livestock receipts ($),2014,2320,320,Cropping
Other materials ($),2014,5430,20,Cropping
Other services ($),2014,14820,8,Cropping
Payments to sharefarmers ($),2014,6760,60,Cropping
Population,2014,9269,,Cropping
Produce purchased for resale ($),2014,400,63,Cropping
Profit at full equity ($),2014,350990,10,Cropping
Profit at full equity including capital appreciation ($),2014,378330,10,Cropping
Rams at 30 June (no.),2014,14,18,Cropping
Rate of return ex. capital appreciation (%),2014,4.9,9,Cropping
Rate of return inc. capital appreciation (%),2014,5.3,9,Cropping
Repairs and maintenance ($),2014,81200,5,Cropping
Rice area sown (ha),2014,7,28,Cropping
Sample Contributing,2014,368,,Cropping
Seed ($),2014,12740,10,Cropping
Shearing crutching ($),2014,8980,13,Cropping
Sheep and lambs shorn (no.),2014,1029,12,Cropping
Sheep flock at 30 June (no.),2014,926,11,Cropping
Sheep purchased ($),2014,10650,13,Cropping
Sheep purchased (no.),2014,105,19,Cropping
Sheep receipts ($),2014,59730,10,Cropping
Sheep sold (no.),2014,524,11,Cropping
Shire and PPB rates ($),2014,18420,7,Cropping
Sorghum area sown (ha),2014,24,20,Cropping
Sorghum produced (t),2014,51,17,Cropping
Sorghum receipts ($),2014,18680,18,Cropping
Steers and other beef cattle at 30 June (no.),2014,12,27,Cropping
Stores and rations ($),2014,530,43,Cropping
Telephone ($),2014,4830,5,Cropping
Total area cropped (ha),2014,1574,5,Cropping
Total area irrigated (ha),2014,,,Cropping
Total cash costs ($),2014,913870,5,Cropping
Total cash receipts ($),2014,1336480,5,Cropping
Total closing capital ($),2014,7131320,4,Cropping
Total crop gross receipts ($),2014,1113530,6,Cropping
Total family income ($),2014,280610,11,Cropping
Total freight ($),2014,44170,9,Cropping
Total labor used (weeks),2014,120,4,Cropping
Total non farm income ($),2014,39330,11,Cropping
Total off farm wages ($),2014,24060,14,Cropping
Total wool sold (kg),2014,4183,13,Cropping
Value of land and fixed improvements ($),2014,5659290,5,Cropping
Vet fees ($),2014,680,47,Cropping
Wages for hired labor ($),2014,33090,12,Cropping
Water charges ($),2014,11870,23,Cropping
Wethers at 30 June (no.),2014,62,32,Cropping
Wheat area sown (ha),2014,895,6,Cropping
Wheat produced (t),2014,1819,6,Cropping
Wheat receipts ($),2014,604390,6,Cropping
Wheat sold (t),2014,1765,6,Cropping
Wool cut per head (kg),2014,4.2,3,Cropping
Wool produced (kg),2014,4274,12,Cropping
Wool receipts ($),2014,34980,14,Cropping
AI stud fees and herd testing ($),2014,11250,9,Dairy
Accounting services ($),2014,5360,8,Dairy
Advisory services ($),2014,940,18,Dairy
Age of owner manager (yrs),2014,57,2,Dairy
Age of spouse (yrs),2014,54,3,Dairy
Agistment ($),2014,3560,18,Dairy
Area operated at 30 June (ha),2014,286,8,Dairy
Beef cattle purchased ($),2014,600,47,Dairy
Beef cattle receipts ($),2014,8630,20,Dairy
Beef cattle sold (no.),2014,11,27,Dairy
Beef herd at 30 June (no.),2014,17,24,Dairy
Buildup in trading stocks ($),2014,23180,43,Dairy
Capital appreciation ($),2014,20580,177,Dairy
Capital at 1 July ($),2014,4802020,7,Dairy
Change in farm debt ($),2014,3670,675,Dairy
Contracts - cropping ($),2014,18820,11,Dairy
Contracts - livestock ($),2014,1520,32,Dairy
Crop and pasture chemicals ($),2014,4280,14,Dairy
Dairy cattle at June 30 (no.),2014,399,7,Dairy
Dairy cattle purchased ($),2014,11130,27,Dairy
Dairy cattle purchased (no.),2014,7,28,Dairy
Dairy cattle sold ($),2014,59740,9,Dairy
Dairy cattle sold (no.),2014,148,6,Dairy
Dairy cows at 30 June (no.),2014,245,6,Dairy
Dairy cows mated (no.),2014,229,6,Dairy
Dairy supplies ($),2014,20500,15,Dairy
Depreciation ($),2014,52650,7,Dairy
Electricity ($),2014,25450,5,Dairy
Equity ratio at 30 June (%),2014,79,2,Dairy
Family share of farm income ($),2014,159750,13,Dairy
Farm business debt at 30 June ($),2014,1039140,8,Dairy
Farm business equity June 30 ($),2014,3846380,7,Dairy
Farm business profit ($),2014,87480,21,Dairy
Farm cash income ($),2014,206690,9,Dairy
Farm liquid assets at 30 June ($),2014,237210,17,Dairy
Fertiliser ($),2014,51470,11,Dairy
Fodder ($),2014,213300,5,Dairy
Fuel oil and grease ($),2014,25020,6,Dairy
Handling and marketing ($),2014,20820,10,Dairy
Hours worked on farm - total (hrsperwk),2014,149,5,Dairy
Hours worked on farm by owner manager (hrsperwk),2014,60,5,Dairy
Hours worked on farm by spouse (hrsperwk),2014,23,16,Dairy
Imputed labor cost ($),2014,89740,5,Dairy
Insurance ($),2014,12520,6,Dairy
Interest paid ($),2014,70970,9,Dairy
Land rent ($),2014,16910,16,Dairy
Leasing charges ($),2014,1400,48,Dairy
Livestock materials ($),2014,10490,11,Dairy
Livestock transfers - inwards ($),2014,0,63,Dairy
Livestock transfers - outward ($),2014,5820,71,Dairy
Manufacturing milk (ltrs),2014,,,Dairy
Market milk (ltrs),2014,,,Dairy
Milk produced (ltrs),2014,1328751,5,Dairy
Milk produced (ltrs),2014,,,Dairy
Milk receipts excluding freight ($),2014,823440,6,Dairy
Milk receipts excluding freight ($),2014,823440,6,Dairy
Net capital additions ($),2014,78370,48,Dairy
Off farm contracts ($),2014,6250,55,Dairy
Off farm sharefarming ($),2014,0,,Dairy
Off-farm work for owner manager (hrsperwk),2014,1,61,Dairy
Off-farm work for spouse (hrsperwk),2014,8,37,Dairy
Other administration expenses ($),2014,9770,20,Dairy
Other farm income ($),2014,18630,23,Dairy
Other livestock purchased ($),2014,150,50,Dairy
Other livestock receipts ($),2014,1750,61,Dairy
Other materials ($),2014,3830,16,Dairy
Other services ($),2014,9010,13,Dairy
Payments to sharefarmers ($),2014,23800,41,Dairy
Population,2014,6987,,Dairy
Produce purchased for resale ($),2014,0,,Dairy
Profit at full equity ($),2014,176620,12,Dairy
Profit at full equity including capital appreciation ($),2014,197200,22,Dairy
Rate of return ex. capital appreciation (%),2014,3.6,10,Dairy
Rate of return inc. capital appreciation (%),2014,4,20,Dairy
Repairs and maintenance ($),2014,50290,7,Dairy
Sample Contributing,2014,309,,Dairy
Seed ($),2014,8180,10,Dairy
Shearing crutching ($),2014,70,47,Dairy
Shire and PPB rates ($),2014,10730,13,Dairy
Stores and rations ($),2014,60,50,Dairy
Telephone ($),2014,3220,8,Dairy
Total area cropped (ha),2014,108,6,Dairy
Total area irrigated (ha),2014,,,Dairy
Total cash costs ($),2014,723770,6,Dairy
Total cash receipts ($),2014,930470,6,Dairy
Total closing capital ($),2014,4922460,7,Dairy
Total crop gross receipts ($),2014,6210,33,Dairy
Total family income ($),2014,193790,11,Dairy
Total freight ($),2014,7170,18,Dairy
Total labor used (weeks),2014,145,3,Dairy
Total non farm income ($),2014,29800,17,Dairy
Total off farm wages ($),2014,15860,30,Dairy
Value of land and fixed improvements ($),2014,3705950,7,Dairy
Vet fees ($),2014,12110,9,Dairy
Wages for hired labor ($),2014,46490,9,Dairy
Water charges ($),2014,12610,13,Dairy
AI stud fees and herd testing ($),2014,180,52,Mixed
Accounting services ($),2014,5520,6,Mixed
Advisory services ($),2014,1370,16,Mixed
Age of owner manager (yrs),2014,58,1,Mixed
Age of spouse (yrs),2014,54,2,Mixed
Agistment ($),2014,810,97,Mixed
Area operated at 30 June (ha),2014,1609,6,Mixed
Barley area sown (ha),2014,96,10,Mixed
Barley produced (t),2014,227,10,Mixed
Barley receipts ($),2014,53600,12,Mixed
Beef bulls at 30 June (no.),2014,2,48,Mixed
Beef calves at 30 June (no.),2014,27,12,Mixed
Beef cattle purchased ($),2014,11580,36,Mixed
Beef cattle purchased (no.),2014,20,35,Mixed
Beef cattle receipts ($),2014,51880,21,Mixed
Beef cattle sold (no.),2014,55,16,Mixed
Beef cattle transferred off farm (no.),2014,0,,Mixed
Beef cattle transferred onto farm (no.),2014,0,74,Mixed
Beef cows at 30 June (no.),2014,40,12,Mixed
Beef heifers at 30 June (no.),2014,8,24,Mixed
Beef herd at 30 June (no.),2014,101,11,Mixed
Branding rate (%),2014,83.2,3,Mixed
Buildup in trading stocks ($),2014,16780,48,Mixed
Canola area sown (ha),2014,57,11,Mixed
Canola produced (t),2014,95,12,Mixed
Canola receipts ($),2014,61490,13,Mixed
Capital appreciation ($),2014,30030,56,Mixed
Capital at 1 July ($),2014,4503230,4,Mixed
Change in farm debt ($),2014,11330,112,Mixed
Contracts - cropping ($),2014,16960,13,Mixed
Contracts - livestock ($),2014,1870,29,Mixed
Cotton receipts ($),2014,690,112,Mixed
Crop and pasture chemicals ($),2014,35230,8,Mixed
Dairy cattle at June 30 (no.),2014,0,,Mixed
Depreciation ($),2014,62290,4,Mixed
Electricity ($),2014,4600,9,Mixed
Equity ratio at 30 June (%),2014,86,1,Mixed
Ewes at 30 June (no.),2014,1086,7,Mixed
Family share of farm income ($),2014,74600,19,Mixed
Farm business debt at 30 June ($),2014,649350,10,Mixed
Farm business equity June 30 ($),2014,3931890,4,Mixed
Farm business profit ($),2014,43280,38,Mixed
Farm cash income ($),2014,163600,9,Mixed
Farm liquid assets at 30 June ($),2014,162080,10,Mixed
Fertiliser ($),2014,54830,7,Mixed
Field peas area sown (ha),2014,2,41,Mixed
Field peas produced (t),2014,3,40,Mixed
Field peas receipts ($),2014,890,48,Mixed
Fodder ($),2014,7840,19,Mixed
Fuel oil and grease ($),2014,35420,5,Mixed
